,순위,제목,변동,변동값
0,01,테스와 보낸 여름,불변,0
1,02,뮬란,불변,0
2,03,테넷,불변,0
3,04,기기괴괴 성형수,불변,0
4,05,다만 악에서 구하소서,불변,0
5,06,오! 문희,상승,1
6,07,뉴 뮤턴트,강등,1
7,08,오케이 마담,불변,0
8,09,도망친 여자,상승,1
9,10,악마는 사라지지 않는다,상승,2
10,11,검객,상승,2
11,12,에이바,강등,1
12,13,설계,강등,4
13,14,더 렌탈: 소리없는 감시자,상승,1
14,15,디바,상승,1
15,16,비독: 파리의 황제,상승,2
16,17,소원택시,강등,3
17,18,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,상승,2
18,19,지니어스 독,불변,0
19,20,후쿠오카,상승,1
20,21,붉은 바캉스 검은 웨딩,강등,4
21,22,소리도 없이,상승,10
22,23,매지컬: 공주를 웃겨라,강등,1
23,24,아웃포스트,상승,1
24,25,담보,상승,1
25,26,국제수사,상승,5
26,27,죽지않는 인간들의 밤,상승,3
27,28,공포분자,불변,0
28,29,반도,불변,0
29,30,야누스: 욕망의 두 얼굴,강등,7
30,31,나를 구하지 마세요,강등,7
31,32,어트랙션,상승,2
32,33,드라이브,강등,6
33,34,군달라: 슈퍼히어로의 탄생,상승,6
34,35,노브레싱,강등,2
35,36,그린랜드,상승,6
36,37,#살아있다,강등,1
37,38,남매의 여름밤,상승,1
38,39,생생활활,강등,4
39,40,리얼파이터,상승,1
40,41,아무도 없다,강등,3
41,42,이별의 목적,상승,1
42,43,뮬란,상승,3
43,44,소년시절의 너,불변,0
44,45,범죄도시 2,강등,8
45,46,듄,강등,1
46,47,살로메,상승,1
47,48,가버나움,강등,1
48,49,그린 북,불변,0
49,50,경호원,상승,1
